run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	bam_file_role
SRR11825860	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376567	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C35.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	47578	28356488	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C35.fq	C35.R1.fq.gz	5221643;7108812	1038653d18b221533558928412a69678;e90008344db8d8045c467e407c69317b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/060/SRR11825860/SRR11825860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/060/SRR11825860/SRR11825860_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/060/SRR11825860/SRR11825860_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/060/SRR11825860/SRR11825860_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/060/SRR11825860/SRR11825860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/060/SRR11825860/SRR11825860_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825858	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376569	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C39.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	53521	31577390	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C39.fq	C39.R1.fq.gz	5551896;8073135	9da3f5492d1a6ddc8568a7516d32fd59;011aa38fb20833b5661955675b6d371b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/058/SRR11825858/SRR11825858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/058/SRR11825858/SRR11825858_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/058/SRR11825858/SRR11825858_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/058/SRR11825858/SRR11825858_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/058/SRR11825858/SRR11825858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/058/SRR11825858/SRR11825858_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825859	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376568	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C36.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	48612	28875528	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C36.fq	C36.R1.fq.gz	4645421;7099300	e2d41fa569424b75ae3ce7d864e93238;a1cd9c3bd436a5d674e553c67a83154d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/059/SRR11825859/SRR11825859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/059/SRR11825859/SRR11825859_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/059/SRR11825859/SRR11825859_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/059/SRR11825859/SRR11825859_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/059/SRR11825859/SRR11825859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/059/SRR11825859/SRR11825859_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825861	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376566	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C34.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	67466	40412134	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C34.fq	C34.R1.fq.gz	6729639;10024390	db54123a31bef72732bc61f3b3de2b24;be8e3222518ac431cb061b81eb8dea45	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/061/SRR11825861/SRR11825861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/061/SRR11825861/SRR11825861_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/061/SRR11825861/SRR11825861_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/061/SRR11825861/SRR11825861_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/061/SRR11825861/SRR11825861_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/061/SRR11825861/SRR11825861_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825863	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376564	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C33.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	47613	28091670	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C33.fq	C33.R1.fq.gz	5009244;7380102	2309386a9a8c560d121675eba5b5333e;fc7e03bf27a398349e63d991101e8d06	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/063/SRR11825863/SRR11825863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/063/SRR11825863/SRR11825863_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/063/SRR11825863/SRR11825863_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/063/SRR11825863/SRR11825863_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/063/SRR11825863/SRR11825863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/063/SRR11825863/SRR11825863_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825862	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376565	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD18.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	40157	23853258	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	AD18.fq	AD18.R1.fq.gz	4449347;6530517	cc63c91f79efbd398307c6bb0a349de8;f23d1e649ceb8efaeacab9261131fa0d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/062/SRR11825862/SRR11825862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/062/SRR11825862/SRR11825862_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/062/SRR11825862/SRR11825862_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/062/SRR11825862/SRR11825862_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/062/SRR11825862/SRR11825862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/062/SRR11825862/SRR11825862_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825865	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376562	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C31.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	42257	25185172	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C31.fq	C31.R1.fq.gz	4454727;6204362	497e185418185636897b924fdac5c450;040b73fd72032dba602013782f473f3f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/065/SRR11825865/SRR11825865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/065/SRR11825865/SRR11825865_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/065/SRR11825865/SRR11825865_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/065/SRR11825865/SRR11825865_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/065/SRR11825865/SRR11825865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/065/SRR11825865/SRR11825865_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825864	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376563	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C32.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	44551	26463294	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C32.fq	C32.R1.fq.gz	4752042;6997047	aa951198c535a6352e034c9d4a44d512;a642de881a0ad6e61fe6356587a7e499	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/064/SRR11825864/SRR11825864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/064/SRR11825864/SRR11825864_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/064/SRR11825864/SRR11825864_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/064/SRR11825864/SRR11825864_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/064/SRR11825864/SRR11825864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/064/SRR11825864/SRR11825864_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825870	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376557	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C26.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	53923	32299877	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C26.fq	C26.R1.fq.gz	5681228;8399533	94ec6a587eac334d943cb9b4e0b570ee;0abfd5a4b97f6dee7248e822ccda0dba	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/070/SRR11825870/SRR11825870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/070/SRR11825870/SRR11825870_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/070/SRR11825870/SRR11825870_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/070/SRR11825870/SRR11825870_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/070/SRR11825870/SRR11825870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/070/SRR11825870/SRR11825870_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825868	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376559	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C28.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	51131	30371814	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C28.fq	C28.R1.fq.gz	5505279;8013012	d6c19bd8dca3ac58297f69af6f663882;881205b671bcc479d463517046777ed3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/068/SRR11825868/SRR11825868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/068/SRR11825868/SRR11825868_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/068/SRR11825868/SRR11825868_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/068/SRR11825868/SRR11825868_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/068/SRR11825868/SRR11825868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/068/SRR11825868/SRR11825868_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825871	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376556	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C25.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	55596	32801640	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C25.fq	C25.R1.fq.gz	5997737;8313859	c72dbee7c92c080955f36cf56d06d3d0;26c6f50e845111ca94bb77f42bb1eaaa	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/071/SRR11825871/SRR11825871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/071/SRR11825871/SRR11825871_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/071/SRR11825871/SRR11825871_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/071/SRR11825871/SRR11825871_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/071/SRR11825871/SRR11825871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/071/SRR11825871/SRR11825871_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825869	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376558	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C27.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	45539	27141244	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C27.fq	C27.R1.fq.gz	4833265;6772628	7f3b92e1b9c3748f9680a4fe2cc88adb;3b0ebde170f7bba17e62fa19fe486c3c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/069/SRR11825869/SRR11825869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/069/SRR11825869/SRR11825869_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/069/SRR11825869/SRR11825869_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/069/SRR11825869/SRR11825869_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/069/SRR11825869/SRR11825869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/069/SRR11825869/SRR11825869_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825872	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376555	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C24.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	59158	35139852	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C24.fq	C24.R1.fq.gz	5863048;8834222	994782dd53f335b0737fec0c8b887697;65e01b03dedbc705c59d95f96513766b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/072/SRR11825872/SRR11825872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/072/SRR11825872/SRR11825872_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/072/SRR11825872/SRR11825872_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/072/SRR11825872/SRR11825872_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/072/SRR11825872/SRR11825872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/072/SRR11825872/SRR11825872_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825877	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376550	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C20.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	55814	33153516	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C20.fq	C20.R1.fq.gz	5670141;8431755	b69272593acb49d1dde05b336057ca85;238e008547cf70bff8861bcddf349c21	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/077/SRR11825877/SRR11825877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/077/SRR11825877/SRR11825877_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/077/SRR11825877/SRR11825877_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/077/SRR11825877/SRR11825877_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/077/SRR11825877/SRR11825877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/077/SRR11825877/SRR11825877_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825873	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376554	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD17.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	30343	18084428	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	AD17.fq	AD17.R1.fq.gz	3463015;4875687	605c1d5a46849e3dfd8e4cf000756ed3;9714725e2a46eeff4750c42e2b66c79b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/073/SRR11825873/SRR11825873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/073/SRR11825873/SRR11825873_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/073/SRR11825873/SRR11825873_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/073/SRR11825873/SRR11825873_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/073/SRR11825873/SRR11825873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/073/SRR11825873/SRR11825873_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825879	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376548	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C18.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	71073	42572727	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C18.fq	C18.R1.fq.gz	7735107;11033086	206440722c3eb6ac843b268c58deb4be;0012d0b07262be978d978519b003f48a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/079/SRR11825879/SRR11825879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/079/SRR11825879/SRR11825879_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/079/SRR11825879/SRR11825879_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/079/SRR11825879/SRR11825879_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/079/SRR11825879/SRR11825879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/079/SRR11825879/SRR11825879_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825875	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376552	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C22.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	69264	41489136	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C22.fq	C22.R1.fq.gz	7178468;10567855	a7dcd1d9f7ccaaff34d80ad03cdec5e8;9b546faf44784926116bc7c1f2eec2d8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/075/SRR11825875/SRR11825875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/075/SRR11825875/SRR11825875_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/075/SRR11825875/SRR11825875_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/075/SRR11825875/SRR11825875_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/075/SRR11825875/SRR11825875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/075/SRR11825875/SRR11825875_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825880	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376547	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C17.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	58072	34262480	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C17.fq	C17.R1.fq.gz	5639598;8385140	dff04882028801d210acd4eab7e1c608;26f0aad1f46128b95116deb4dca1dcce	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/080/SRR11825880/SRR11825880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/080/SRR11825880/SRR11825880_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/080/SRR11825880/SRR11825880_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/080/SRR11825880/SRR11825880_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/080/SRR11825880/SRR11825880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/080/SRR11825880/SRR11825880_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825876	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376551	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	C21.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	55988	33032920	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	C21.fq	C21.R1.fq.gz	5502063;8203403	55068c7e28ebbefdfd351699450ea0cb;c89ec94ebe249184f1d7910285348c0a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/076/SRR11825876/SRR11825876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/076/SRR11825876/SRR11825876_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/076/SRR11825876/SRR11825876_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/076/SRR11825876/SRR11825876_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/076/SRR11825876/SRR11825876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/076/SRR11825876/SRR11825876_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
SRR11825857	PRJNA633959	SRP262626	SAMN14978585	SRS6691128	SRX8376457	SRA1078023	408170	human gut metagenome	ILLUMINA	Illumina MiSeq	AD104.fq		PAIRED	AMPLICON	METAGENOMIC	PCR	42211	25157756	SUB7461200	2020-05-22	2020-05-22	Illumina MiSeq sequencing: Metagenome or environmental sample from human gut metagenome	Altered fecal microbiota in Chinese patients with AD	PRJNA633959	AD104.fq	AD104.R1.fq.gz	4555231;6449319	c0acaa2b804fd5ccdb52109e633a697d;1fc3add584cf77364b83654a84dbf99d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/057/SRR11825857/SRR11825857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/057/SRR11825857/SRR11825857_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/057/SRR11825857/SRR11825857_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR118/057/SRR11825857/SRR11825857_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/057/SRR11825857/SRR11825857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR118/057/SRR11825857/SRR11825857_2.fastq.gz							LZX-AD		Metagenome or environmental sample from human gut metagenome		2020-05-22				GENERATED_FILE;GENERATED_FILE		
