run_accession	study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_name	nominal_length	library_layout	library_strategy	library_source	library_selection	read_count	base_count	center_name	first_public	last_updated	experiment_title	study_title	study_alias	experiment_alias	run_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	fastq_galaxy	submitted_bytes	submitted_md5	submitted_ftp	submitted_aspera	submitted_galaxy	submitted_format	sample_alias	broker_name	sample_title	nominal_sdev	first_created	bam_ftp	bam_bytes	bam_md5	fastq_file_role	submitted_file_role	bam_file_role
SRR14711404	PRJNA734525	SRP322348	SAMN19513452	SRS9117554	SRX11049523	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	AD191		PAIRED	AMPLICON	METAGENOMIC	PCR	299967	139197294	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	AD191	80S80R1.fastq.gz	36312896;43031198	f1ab60f5eddc12826ac9cb2c917f4a38;6508cb62eb69da29d7f1d5401e9be027	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/004/SRR14711404/SRR14711404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/004/SRR14711404/SRR14711404_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/004/SRR14711404/SRR14711404_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/004/SRR14711404/SRR14711404_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/004/SRR14711404/SRR14711404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/004/SRR14711404/SRR14711404_2.fastq.gz							AD191		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
SRR14711402	PRJNA734525	SRP322348	SAMN19513454	SRS9117556	SRX11049525	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	ADH10		PAIRED	AMPLICON	METAGENOMIC	PCR	97862	55099891	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	ADH10	ALZH10S77R1.fastq.gz	307;14339601;16298184	ed319969c30f7e5a439c60730c4c6f32;815c68bf47460a25ea784c7c1469759e;9464483bd843103dcb9ea44a26254733	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/002/SRR14711402/SRR14711402.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/002/SRR14711402/SRR14711402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/002/SRR14711402/SRR14711402_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/002/SRR14711402/SRR14711402.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/002/SRR14711402/SRR14711402_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/002/SRR14711402/SRR14711402_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/002/SRR14711402/SRR14711402.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/002/SRR14711402/SRR14711402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/002/SRR14711402/SRR14711402_2.fastq.gz							ADH10		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE;GENERATED_FILE		
SRR14711403	PRJNA734525	SRP322348	SAMN19513453	SRS9117555	SRX11049524	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	ADH1		PAIRED	AMPLICON	METAGENOMIC	PCR	90292	50844555	SUB9594113	2022-01-09	2022-02-20	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	ADH1	ALZH1S44R1.fastq.gz	292;12770761;15094736	a3da1af5d6af405d85e9622a752d4551;ed60567833b4d75ffd54cd4cacae1c0a;98266ba962d6dcd0da583a43e4c16695	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/003/SRR14711403/SRR14711403.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/003/SRR14711403/SRR14711403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/003/SRR14711403/SRR14711403_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/003/SRR14711403/SRR14711403.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/003/SRR14711403/SRR14711403_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/003/SRR14711403/SRR14711403_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/003/SRR14711403/SRR14711403.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/003/SRR14711403/SRR14711403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/003/SRR14711403/SRR14711403_2.fastq.gz							ADH1		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE;GENERATED_FILE		
SRR14711405	PRJNA734525	SRP322348	SAMN19513451	SRS9117552	SRX11049522	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	AD189		PAIRED	AMPLICON	METAGENOMIC	PCR	98715	45821268	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	AD189	78S78R1.fastq.gz	11787772;13824231	dca6ec5340c22f238c68c379147e06d9;f202bc133b7e440143b1032d64034f6e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/005/SRR14711405/SRR14711405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/005/SRR14711405/SRR14711405_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/005/SRR14711405/SRR14711405_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/005/SRR14711405/SRR14711405_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/005/SRR14711405/SRR14711405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/005/SRR14711405/SRR14711405_2.fastq.gz							AD189		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
SRR14711406	PRJNA734525	SRP322348	SAMN19513450	SRS9117553	SRX11049521	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	AD185		PAIRED	AMPLICON	METAGENOMIC	PCR	154744	71883724	SUB9594113	2022-01-09	2022-02-20	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	AD185	71S71R1.fastq.gz	18785033;21548567	f1bad6658facb08467316d3fd32cfc0b;3c6fef4e8af70f9ecf5c034cf758058c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/006/SRR14711406/SRR14711406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/006/SRR14711406/SRR14711406_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/006/SRR14711406/SRR14711406_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/006/SRR14711406/SRR14711406_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/006/SRR14711406/SRR14711406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/006/SRR14711406/SRR14711406_2.fastq.gz							AD185		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
SRR14711424	PRJNA734525	SRP322348	SAMN19513447	SRS9117534	SRX11049503	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	AD152		PAIRED	AMPLICON	METAGENOMIC	PCR	105811	49145691	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	AD152	35S35R1.fastq.gz	12715963;15051884	077a85c49584639402dc058e882e0feb;3b9db22f5223e28a86b95641afa260b0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/024/SRR14711424/SRR14711424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/024/SRR14711424/SRR14711424_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/024/SRR14711424/SRR14711424_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/024/SRR14711424/SRR14711424_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/024/SRR14711424/SRR14711424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/024/SRR14711424/SRR14711424_2.fastq.gz							AD152		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
SRR14711407	PRJNA734525	SRP322348	SAMN19513449	SRS9117551	SRX11049520	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	AD182		PAIRED	AMPLICON	METAGENOMIC	PCR	30905	14346455	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	AD182	69S69R1.fastq.gz	3810679;4421481	164b35383c7386465376a56cecc1eae8;21f761f8ae35d3157b086852c4b1f354	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/007/SRR14711407/SRR14711407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/007/SRR14711407/SRR14711407_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/007/SRR14711407/SRR14711407_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/007/SRR14711407/SRR14711407_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/007/SRR14711407/SRR14711407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/007/SRR14711407/SRR14711407_2.fastq.gz							AD182		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
SRR14711413	PRJNA734525	SRP322348	SAMN19513448	SRS9117545	SRX11049514	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	AD162		PAIRED	AMPLICON	METAGENOMIC	PCR	162079	75248348	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	AD162	45S45R1.fastq.gz	19281062;23955090	0eb0c40e80d57f98d347b916ff8dcc2f;d1be8d46bdec3d11d8d2ccddeba73df9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/013/SRR14711413/SRR14711413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/013/SRR14711413/SRR14711413_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/013/SRR14711413/SRR14711413_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/013/SRR14711413/SRR14711413_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/013/SRR14711413/SRR14711413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/013/SRR14711413/SRR14711413_2.fastq.gz							AD162		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
SRR14711441	PRJNA734525	SRP322348	SAMN19513532	SRS9117517	SRX11049486	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	CK8		PAIRED	AMPLICON	METAGENOMIC	PCR	61359	34543858	SUB9594113	2022-01-09	2022-02-20	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	CK8	ALZK8S45R1.fastq.gz	8185495;9619206	ab7903dbd30a2e64d80ee9c41f81d140;535c7798552319caae6fdbd1d87b6e22	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/041/SRR14711441/SRR14711441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/041/SRR14711441/SRR14711441_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/041/SRR14711441/SRR14711441_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/041/SRR14711441/SRR14711441_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/041/SRR14711441/SRR14711441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/041/SRR14711441/SRR14711441_2.fastq.gz							CK8		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
SRR14711443	PRJNA734525	SRP322348	SAMN19513530	SRS9117515	SRX11049484	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	CK6		PAIRED	AMPLICON	METAGENOMIC	PCR	47850	26946146	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	CK6	ALZK6S21R1.fastq.gz	319;6557595;7772705	8058e5027e090f6af8437d51b9e42eeb;e76615cd11b35236351af5a306afcbcb;2fe2494e65e1a03bb78cb44c7f3f4c0c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/043/SRR14711443/SRR14711443.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/043/SRR14711443/SRR14711443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/043/SRR14711443/SRR14711443_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/043/SRR14711443/SRR14711443.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/043/SRR14711443/SRR14711443_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/043/SRR14711443/SRR14711443_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/043/SRR14711443/SRR14711443.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/043/SRR14711443/SRR14711443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/043/SRR14711443/SRR14711443_2.fastq.gz							CK6		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE;GENERATED_FILE		
SRR14711444	PRJNA734525	SRP322348	SAMN19513529	SRS9117514	SRX11049483	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	CK5		PAIRED	AMPLICON	METAGENOMIC	PCR	49654	27965328	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	CK5	ALZK5S9R1.fastq.gz	2056;7378183;8644804	6402797c8b943736d633c7d07b231def;dfc7b4a193c985b6e5a1906016358a92;d72051ad27ae2f334bcb858e29b73e0e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/044/SRR14711444/SRR14711444.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/044/SRR14711444/SRR14711444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/044/SRR14711444/SRR14711444_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/044/SRR14711444/SRR14711444.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/044/SRR14711444/SRR14711444_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/044/SRR14711444/SRR14711444_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/044/SRR14711444/SRR14711444.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/044/SRR14711444/SRR14711444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/044/SRR14711444/SRR14711444_2.fastq.gz							CK5		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE;GENERATED_FILE		
SRR14711448	PRJNA734525	SRP322348	SAMN19513445	SRS9117510	SRX11049479	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	AD149		PAIRED	AMPLICON	METAGENOMIC	PCR	145484	67578746	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	AD149	33S33R1.fastq.gz	16376637;19338788	5107143675cc0dd9e7a4aeb867ca6962;90d3dd54c57c7493daaf8167d7a7bfcf	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/048/SRR14711448/SRR14711448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/048/SRR14711448/SRR14711448_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/048/SRR14711448/SRR14711448_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/048/SRR14711448/SRR14711448_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/048/SRR14711448/SRR14711448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/048/SRR14711448/SRR14711448_2.fastq.gz							AD149		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
SRR14711451	PRJNA734525	SRP322348	SAMN19513523	SRS9117507	SRX11049476	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	CK32		PAIRED	AMPLICON	METAGENOMIC	PCR	47608	26826874	SUB9594113	2022-01-09	2022-02-20	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	CK32	ALZK32S36R1.fastq.gz	1061;6642446;8183034	6f50aaaf0f1391c2969e9e72d83cec77;da21ebe9a7120a51ffdc32cffbd1d2a0;65b8cc318d8ff7d13a3a26b833d40e12	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/051/SRR14711451/SRR14711451.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/051/SRR14711451/SRR14711451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/051/SRR14711451/SRR14711451_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/051/SRR14711451/SRR14711451.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/051/SRR14711451/SRR14711451_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/051/SRR14711451/SRR14711451_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/051/SRR14711451/SRR14711451.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/051/SRR14711451/SRR14711451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/051/SRR14711451/SRR14711451_2.fastq.gz							CK32		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE;GENERATED_FILE		
SRR14711461	PRJNA734525	SRP322348	SAMN19513514	SRS9117497	SRX11049466	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	CK23		PAIRED	AMPLICON	METAGENOMIC	PCR	128039	72099671	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	CK23	ALZK23S23R1.fastq.gz	984;19076434;21989070	9b8b2c65a8f3d18a0843e5b6c81ae218;36d955a5df26220316351005b1d0890f;d9cc27af74bc86a5b074fe89ebc72657	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/061/SRR14711461/SRR14711461.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/061/SRR14711461/SRR14711461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/061/SRR14711461/SRR14711461_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/061/SRR14711461/SRR14711461.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/061/SRR14711461/SRR14711461_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/061/SRR14711461/SRR14711461_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/061/SRR14711461/SRR14711461.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/061/SRR14711461/SRR14711461_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/061/SRR14711461/SRR14711461_2.fastq.gz							CK23		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE;GENERATED_FILE		
SRR14711435	PRJNA734525	SRP322348	SAMN19513446	SRS9117523	SRX11049492	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	AD151		PAIRED	AMPLICON	METAGENOMIC	PCR	125260	58189069	SUB9594113	2022-01-09	2022-02-20	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	AD151	34S34R1.fastq.gz	14976507;17641250	1de3be67cb0228ca6018518072cc9818;8733be7856b278de68dd8a01253fff64	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/035/SRR14711435/SRR14711435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/035/SRR14711435/SRR14711435_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/035/SRR14711435/SRR14711435_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/035/SRR14711435/SRR14711435_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/035/SRR14711435/SRR14711435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/035/SRR14711435/SRR14711435_2.fastq.gz							AD151		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
SRR14711436	PRJNA734525	SRP322348	SAMN19513437	SRS9117522	SRX11049491	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	AD122		PAIRED	AMPLICON	METAGENOMIC	PCR	315568	146496904	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	AD122	19S19R1.fastq.gz	38389949;45842736	717e2cb0e546697f3d5771af7f10e7c1;5fa86abde995cfd5620bb4a42eeb0d1d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/036/SRR14711436/SRR14711436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/036/SRR14711436/SRR14711436_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/036/SRR14711436/SRR14711436_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/036/SRR14711436/SRR14711436_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/036/SRR14711436/SRR14711436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/036/SRR14711436/SRR14711436_2.fastq.gz							AD122		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
SRR14711463	PRJNA734525	SRP322348	SAMN19513512	SRS9117495	SRX11049464	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	CK20		PAIRED	AMPLICON	METAGENOMIC	PCR	89628	50498887	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	CK20	ALZK20S82R1.fastq.gz	13428347;14761868	aa12b81a669b5fd274282dc8254f1b91;dd3791664d5de5163dd3c121a8ae4083	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/063/SRR14711463/SRR14711463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/063/SRR14711463/SRR14711463_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/063/SRR14711463/SRR14711463_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/063/SRR14711463/SRR14711463_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/063/SRR14711463/SRR14711463_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/063/SRR14711463/SRR14711463_2.fastq.gz							CK20		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
SRR14711437	PRJNA734525	SRP322348	SAMN19513436	SRS9117521	SRX11049490	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	AD118		PAIRED	AMPLICON	METAGENOMIC	PCR	115164	53398674	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	AD118	15S15R1.fastq.gz	13743373;17356007	3d2d984928b83123ea5a591ebbe9a053;bc5b4d4e613bb6be6c274332602955f8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/037/SRR14711437/SRR14711437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/037/SRR14711437/SRR14711437_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/037/SRR14711437/SRR14711437_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/037/SRR14711437/SRR14711437_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/037/SRR14711437/SRR14711437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/037/SRR14711437/SRR14711437_2.fastq.gz							AD118		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
SRR14711465	PRJNA734525	SRP322348	SAMN19513510	SRS9117493	SRX11049462	SRA1239671	256318	metagenome	ILLUMINA	Illumina MiSeq	CK18		PAIRED	AMPLICON	METAGENOMIC	PCR	92165	51913461	SUB9594113	2022-01-09	2022-01-09	Illumina MiSeq sequencing: 16-Seq of homo sapiens gut microbiome	Gut microbiome profiles of Alzheimers disease patients with different cognitive states	PRJNA734525	CK18	ALZK18S70R1.fastq.gz	12334562;14690874	6d3a2a912745c8091db2e14328e1e068;99751c2cc11eb0cb922de2bbb0492dfc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/065/SRR14711465/SRR14711465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/065/SRR14711465/SRR14711465_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/065/SRR14711465/SRR14711465_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR147/065/SRR14711465/SRR14711465_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/065/SRR14711465/SRR14711465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR147/065/SRR14711465/SRR14711465_2.fastq.gz							CK18		MIMARKS Survey related sample from metagenome		2022-01-09				GENERATED_FILE;GENERATED_FILE		
